date,vendor,category,amount
2026-01-01,腾讯云,云服务,228.12
2026-01-02,AWS中国,云服务,243.71
2026-01-03,阿里云,云服务,283.04
2026-01-03,阿里云,云服务,203.49
2026-01-04,七牛云,云服务,412.81
2026-01-05,某火锅店,餐饮,225.52
2026-01-06,华为云,云服务,247.25
2026-01-06,AWS中国,云服务,358.74
2026-01-06,京东办公,办公,487.35
2026-01-07,员工薪资C,工资,8408.84
2026-01-07,员工薪资C,工资,8850.51
2026-01-08,员工薪资B,工资,10038.11
2026-01-09,员工薪资B,工资,10738.46
2026-01-12,某茶馆,餐饮,269.49
2026-01-13,某茶馆,餐饮,243.01
2026-01-13,某文具店,办公,288.1
2026-01-14,某餐厅A,餐饮,139.03
2026-01-15,如家酒店,差旅,213.86
2026-01-16,某文具店,办公,114.29
2026-01-17,美团打车,差旅,239.19
2026-01-18,腾讯云,云服务,311.79
2026-01-18,阿里云,云服务,388.1
2026-01-19,某餐厅A,餐饮,284.88
2026-01-21,AWS中国,云服务,227.15
2026-01-21,如家酒店,差旅,504.15
2026-01-22,美团打车,差旅,544.48
2026-01-23,某餐厅B,餐饮,288.73
2026-01-24,某火锅店,餐饮,103.47
2026-01-24,美团打车,差旅,379.58
2026-01-25,滴滴出行,差旅,305.45
2026-01-26,某快餐,餐饮,224.78
2026-01-27,阿里云,云服务,230.17
2026-01-30,苏宁易购,办公,181.93
