date,vendor,category,amount
2026-06-02,携程机票,差旅,546.51
2026-06-02,某快餐,餐饮,110.8
2026-06-03,某快餐,餐饮,211.92
2026-06-03,顺丰速运,办公,309.66
2026-06-08,某打印店,办公,187.79
2026-06-08,AWS中国,云服务,307.68
2026-06-08,中国移动,通讯,87.23
2026-06-09,苏宁易购,办公,365.53
2026-06-09,美团打车,差旅,763.64
2026-06-09,腾讯云,云服务,233.95
2026-06-10,某餐厅B,餐饮,161.61
2026-06-10,某餐厅B,餐饮,111.98
2026-06-10,滴滴出行,差旅,526.74
2026-06-10,AWS中国,云服务,174.91
2026-06-11,阿里云,云服务,247.62
2026-06-11,某餐厅B,餐饮,175.8
2026-06-14,中国电信,通讯,279.13
2026-06-15,某快餐,餐饮,233.86
2026-06-15,某茶馆,餐饮,142.25
2026-06-15,某火锅店,餐饮,347.31
2026-06-16,顺丰速运,办公,91.87
2026-06-16,某火锅店,餐饮,343.68
2026-06-16,京东办公,办公,132.96
2026-06-17,滴滴出行,差旅,682.84
2026-06-18,某餐厅A,餐饮,190.3
2026-06-18,某餐厅B,餐饮,325.27
2026-06-19,苏宁易购,办公,288.91
2026-06-22,顺丰速运,办公,272.44
2026-06-22,某餐厅B,餐饮,299.01
2026-06-23,如家酒店,差旅,131.86
2026-06-23,如家酒店,差旅,122.85
2026-06-24,某餐厅A,餐饮,280.58
2026-06-24,某餐厅B,餐饮,248.89
2026-06-25,某快餐,餐饮,254.39
2026-06-25,腾讯云,云服务,225.73
2026-06-25,顺丰速运,办公,308.33
2026-06-25,苏宁易购,办公,405.83
2026-06-27,某餐厅A,餐饮,124.8
