date,vendor,category,amount
2026-10-04,某快餐,餐饮,127.44
2026-10-06,京东办公,办公,399.58
2026-10-07,华为云,云服务,251.31
2026-10-08,华为云,云服务,445.88
2026-10-08,某打印店,办公,84.37
2026-10-09,华为云,云服务,472.54
2026-10-09,某火锅店,餐饮,110.73
2026-10-12,某茶馆,餐饮,235.01
2026-10-12,某餐厅B,餐饮,232.91
2026-10-13,某餐厅A,餐饮,104.77
2026-10-13,携程机票,差旅,450.18
2026-10-13,某茶馆,餐饮,126.41
2026-10-14,某火锅店,餐饮,211.39
2026-10-17,某快餐,餐饮,202.48
2026-10-17,某茶馆,餐饮,281.37
2026-10-19,携程机票,差旅,559.72
2026-10-19,滴滴出行,差旅,208.91
2026-10-19,某文具店,办公,180.28
2026-10-20,某餐厅B,餐饮,161.38
2026-10-22,苏宁易购,办公,248.92
2026-10-22,某打印店,办公,227.87
2026-10-25,滴滴出行,差旅,290.47
2026-10-26,苏宁易购,办公,488.55
2026-10-27,美团打车,差旅,118.38
2026-10-27,华为云,云服务,175.23
2026-10-28,AWS中国,云服务,156.56
2026-10-28,某快餐,餐饮,239.0
2026-10-30,华为云,云服务,160.13
2026-10-30,某茶馆,餐饮,235.45
2026-10-31,某茶馆,餐饮,174.94
2026-10-31,如家酒店,差旅,161.69
