date,vendor,category,amount
2026-04-03,员工薪资C,工资,10492.62
2026-04-03,某餐厅B,餐饮,183.42
2026-04-05,阿里云,云服务,295.2
2026-04-07,苏宁易购,办公,323.0
2026-04-08,腾讯云,云服务,158.55
2026-04-08,员工薪资A,工资,9821.66
2026-04-08,某火锅店,餐饮,205.43
2026-04-08,某餐厅A,餐饮,272.66
2026-04-08,某茶馆,餐饮,321.12
2026-04-09,七牛云,云服务,319.61
2026-04-10,顺丰速运,办公,186.74
2026-04-10,美团打车,差旅,334.63
2026-04-11,某文具店,办公,354.03
2026-04-11,高铁票务,差旅,143.59
2026-04-13,腾讯云,云服务,239.15
2026-04-13,腾讯云,云服务,365.43
2026-04-13,某打印店,办公,116.41
2026-04-16,某打印店,办公,427.94
2026-04-17,某打印店,办公,346.48
2026-04-18,腾讯云,云服务,277.48
2026-04-18,某快餐,餐饮,259.53
2026-04-18,某餐厅A,餐饮,203.24
2026-04-18,某打印店,办公,384.64
2026-04-20,某文具店,办公,325.69
2026-04-22,华为云,云服务,327.49
2026-04-22,某文具店,办公,363.74
2026-04-23,苏宁易购,办公,466.51
2026-04-23,某餐厅A,餐饮,290.17
2026-04-24,AWS中国,云服务,440.7
2026-04-26,苏宁易购,办公,494.55
2026-04-27,员工薪资B,工资,10691.18
2026-04-27,苏宁易购,办公,475.73
2026-04-29,携程机票,差旅,602.84
