date,vendor,category,amount
2026-05-01,中国电信,通讯,248.23
2026-05-03,苏宁易购,办公,73.44
2026-05-04,京东办公,办公,336.01
2026-05-05,顺丰速运,办公,303.79
2026-05-06,滴滴出行,差旅,644.45
2026-05-06,中国联通,通讯,279.29
2026-05-07,京东办公,办公,392.55
2026-05-07,七牛云,云服务,203.33
2026-05-07,京东办公,办公,395.1
2026-05-12,如家酒店,差旅,148.27
2026-05-13,某文具店,办公,375.88
2026-05-13,某快餐,餐饮,148.11
2026-05-15,某茶馆,餐饮,182.36
2026-05-16,某快餐,餐饮,211.12
2026-05-18,某快餐,餐饮,239.81
2026-05-20,七牛云,云服务,423.92
2026-05-21,某餐厅A,餐饮,336.4
2026-05-21,某茶馆,餐饮,309.58
2026-05-21,某文具店,办公,420.05
2026-05-22,某快餐,餐饮,116.64
2026-05-23,某火锅店,餐饮,266.47
2026-05-24,美团打车,差旅,728.47
2026-05-24,如家酒店,差旅,531.14
2026-05-27,某打印店,办公,491.32
2026-05-27,某打印店,办公,245.97
2026-05-28,七牛云,云服务,283.13
2026-05-28,AWS中国,云服务,338.38
2026-05-30,某文具店,办公,228.49
2026-05-30,高铁票务,差旅,425.41
2026-05-31,顺丰速运,办公,401.55
