date,vendor,category,amount
2026-03-01,某茶馆,餐饮,128.21
2026-03-03,中国移动,通讯,225.58
2026-03-04,某餐厅B,餐饮,227.31
2026-03-05,某餐厅A,餐饮,280.45
2026-03-05,某火锅店,餐饮,136.87
2026-03-05,某茶馆,餐饮,322.73
2026-03-06,苏宁易购,办公,366.59
2026-03-07,携程机票,差旅,753.28
2026-03-07,阿里云,云服务,273.79
2026-03-09,某茶馆,餐饮,144.45
2026-03-09,中国电信,通讯,108.94
2026-03-11,某茶馆,餐饮,216.46
2026-03-13,某茶馆,餐饮,203.45
2026-03-14,阿里云,云服务,151.24
2026-03-14,京东办公,办公,246.38
2026-03-15,高铁票务,差旅,492.63
2026-03-15,某打印店,办公,150.32
2026-03-17,苏宁易购,办公,199.02
2026-03-18,某餐厅A,餐饮,333.51
2026-03-18,AWS中国,云服务,490.84
2026-03-19,美团打车,差旅,157.39
2026-03-20,中国联通,通讯,254.08
2026-03-20,中国移动,通讯,105.87
2026-03-22,美团打车,差旅,321.46
2026-03-22,某茶馆,餐饮,155.22
2026-03-24,某餐厅B,餐饮,313.44
2026-03-24,中国电信,通讯,207.19
2026-03-25,某茶馆,餐饮,123.63
2026-03-26,中国联通,通讯,175.29
2026-03-26,AWS中国,云服务,158.68
2026-03-26,AWS中国,云服务,455.26
2026-03-27,苏宁易购,办公,116.64
2026-03-28,腾讯云,云服务,243.38
2026-03-28,某打印店,办公,417.46
2026-03-29,某餐厅B,餐饮,179.77
2026-03-30,阿里云,云服务,153.26
2026-03-31,中国移动,通讯,94.75
