date,vendor,category,amount
2026-12-01,员工薪资A,工资,9023.7
2026-12-01,美团打车,差旅,269.36
2026-12-02,某火锅店,餐饮,203.42
2026-12-03,顺丰速运,办公,193.41
2026-12-03,如家酒店,差旅,147.38
2026-12-03,顺丰速运,办公,397.18
2026-12-04,华为云,云服务,426.98
2026-12-04,腾讯云,云服务,255.4
2026-12-04,AWS中国,云服务,358.86
2026-12-05,某火锅店,餐饮,298.44
2026-12-05,阿里云,云服务,374.41
2026-12-05,某快餐,餐饮,267.94
2026-12-05,AWS中国,云服务,307.01
2026-12-05,某餐厅A,餐饮,246.0
2026-12-06,阿里云,云服务,293.8
2026-12-06,某火锅店,餐饮,119.78
2026-12-07,苏宁易购,办公,493.0
2026-12-07,某餐厅B,餐饮,319.16
2026-12-08,某文具店,办公,456.79
2026-12-08,携程机票,差旅,565.06
2026-12-11,员工薪资D,工资,11956.49
2026-12-12,某餐厅A,餐饮,176.42
2026-12-13,携程机票,差旅,370.32
2026-12-13,阿里云,云服务,372.48
2026-12-14,员工薪资B,工资,11205.04
2026-12-14,某餐厅B,餐饮,300.51
2026-12-15,AWS中国,云服务,326.02
2026-12-17,华为云,云服务,179.36
2026-12-17,美团打车,差旅,487.91
2026-12-18,某打印店,办公,423.67
2026-12-18,顺丰速运,办公,388.98
2026-12-22,AWS中国,云服务,363.71
2026-12-22,某文具店,办公,334.28
2026-12-24,腾讯云,云服务,165.52
2026-12-25,AWS中国,云服务,231.9
2026-12-26,某快餐,餐饮,89.99
2026-12-27,某火锅店,餐饮,222.5
2026-12-28,顺丰速运,办公,370.13
2026-12-29,腾讯云,云服务,359.04
2026-12-29,顺丰速运,办公,236.7
