date,vendor,category,amount
2026-11-02,华为云,云服务,173.07
2026-11-03,京东办公,办公,408.35
2026-11-03,携程机票,差旅,127.4
2026-11-04,高铁票务,差旅,298.9
2026-11-05,某餐厅B,餐饮,242.65
2026-11-06,中国电信,通讯,240.32
2026-11-10,某餐厅A,餐饮,246.05
2026-11-10,中国联通,通讯,190.82
2026-11-10,阿里云,云服务,327.69
2026-11-11,某餐厅B,餐饮,327.52
2026-11-13,京东办公,办公,355.5
2026-11-14,滴滴出行,差旅,353.82
2026-11-15,顺丰速运,办公,215.93
2026-11-16,滴滴出行,差旅,415.37
2026-11-16,某餐厅B,餐饮,121.84
2026-11-17,如家酒店,差旅,345.77
2026-11-17,苏宁易购,办公,299.44
2026-11-18,七牛云,云服务,163.21
2026-11-19,某火锅店,餐饮,100.03
2026-11-20,京东办公,办公,117.93
2026-11-20,某茶馆,餐饮,327.84
2026-11-21,腾讯云,云服务,384.54
2026-11-23,某文具店,办公,285.83
2026-11-23,中国移动,通讯,278.74
2026-11-24,七牛云,云服务,455.65
2026-11-25,阿里云,云服务,212.0
2026-11-25,高铁票务,差旅,628.11
2026-11-25,美团打车,差旅,550.09
2026-11-26,阿里云,云服务,307.41
2026-11-26,携程机票,差旅,325.07
2026-11-26,华为云,云服务,493.83
2026-11-27,携程机票,差旅,265.39
2026-11-27,中国电信,通讯,158.38
