date,vendor,category,amount
2026-08-01,AWS中国,云服务,454.83
2026-08-01,某餐厅A,餐饮,202.79
2026-08-02,携程机票,差旅,541.81
2026-08-03,中国电信,通讯,206.61
2026-08-03,高铁票务,差旅,736.57
2026-08-04,某火锅店,餐饮,176.92
2026-08-05,某茶馆,餐饮,171.41
2026-08-05,某快餐,餐饮,232.8
2026-08-06,某火锅店,餐饮,316.64
2026-08-07,携程机票,差旅,539.77
2026-08-08,如家酒店,差旅,253.3
2026-08-08,AWS中国,云服务,488.54
2026-08-08,苏宁易购,办公,447.91
2026-08-09,中国联通,通讯,118.92
2026-08-10,某快餐,餐饮,310.4
2026-08-10,中国移动,通讯,251.18
2026-08-10,华为云,云服务,431.48
2026-08-10,滴滴出行,差旅,197.84
2026-08-11,高铁票务,差旅,710.67
2026-08-12,如家酒店,差旅,681.33
2026-08-14,中国电信,通讯,239.38
2026-08-15,某餐厅A,餐饮,322.71
2026-08-15,中国联通,通讯,145.01
2026-08-15,某茶馆,餐饮,277.74
2026-08-15,中国移动,通讯,139.54
2026-08-18,苏宁易购,办公,149.62
2026-08-19,某快餐,餐饮,252.23
2026-08-22,华为云,云服务,354.6
2026-08-23,顺丰速运,办公,433.29
2026-08-23,某餐厅A,餐饮,92.42
2026-08-24,京东办公,办公,399.08
2026-08-26,某茶馆,餐饮,181.21
2026-08-26,某餐厅B,餐饮,101.32
2026-08-26,滴滴出行,差旅,653.48
2026-08-27,华为云,云服务,152.83
2026-08-27,如家酒店,差旅,175.84
2026-08-28,七牛云,云服务,283.0
2026-08-28,某打印店,办公,273.95
2026-08-28,阿里云,云服务,468.72
2026-08-29,滴滴出行,差旅,316.25
2026-08-30,某餐厅B,餐饮,281.63
2026-08-31,苏宁易购,办公,184.62
2026-08-31,京东办公,办公,255.58
2026-08-31,某快餐,餐饮,111.35
