date,vendor,category,amount
2026-07-01,员工薪资C,工资,10304.99
2026-07-01,滴滴出行,差旅,257.29
2026-07-02,某火锅店,餐饮,169.64
2026-07-03,高铁票务,差旅,614.17
2026-07-04,华为云,云服务,294.08
2026-07-04,AWS中国,云服务,184.9
2026-07-05,苏宁易购,办公,278.71
2026-07-07,美团打车,差旅,629.51
2026-07-08,携程机票,差旅,699.21
2026-07-10,如家酒店,差旅,390.84
2026-07-10,七牛云,云服务,499.62
2026-07-11,某快餐,餐饮,313.53
2026-07-12,苏宁易购,办公,219.74
2026-07-14,高铁票务,差旅,778.34
2026-07-14,某快餐,餐饮,270.41
2026-07-15,某茶馆,餐饮,268.93
2026-07-15,员工薪资B,工资,11987.78
2026-07-16,京东办公,办公,194.48
2026-07-16,某快餐,餐饮,299.66
2026-07-16,员工薪资B,工资,9827.15
2026-07-16,AWS中国,云服务,338.5
2026-07-17,某餐厅A,餐饮,156.37
2026-07-18,某餐厅A,餐饮,164.92
2026-07-18,某茶馆,餐饮,198.29
2026-07-20,七牛云,云服务,472.42
2026-07-20,某餐厅A,餐饮,141.81
2026-07-20,腾讯云,云服务,258.76
2026-07-21,顺丰速运,办公,141.6
2026-07-21,AWS中国,云服务,476.43
2026-07-22,七牛云,云服务,355.49
2026-07-23,顺丰速运,办公,487.92
2026-07-25,AWS中国,云服务,331.64
2026-07-26,华为云,云服务,476.99
2026-07-26,某打印店,办公,272.9
2026-07-27,员工薪资D,工资,9652.99
2026-07-27,员工薪资D,工资,11788.24
2026-07-29,某餐厅A,餐饮,154.59
2026-07-30,某打印店,办公,491.35
2026-07-31,某火锅店,餐饮,213.32
