date,vendor,category,amount
2026-02-01,员工薪资C,工资,11706.07
2026-02-02,阿里云,云服务,329.95
2026-02-03,腾讯云,云服务,291.32
2026-02-05,七牛云,云服务,207.79
2026-02-06,美团打车,差旅,742.95
2026-02-07,携程机票,差旅,395.32
2026-02-07,阿里云,云服务,207.62
2026-02-08,阿里云,云服务,179.98
2026-02-08,某餐厅A,餐饮,141.81
2026-02-09,腾讯云,云服务,338.73
2026-02-09,顺丰速运,办公,249.41
2026-02-10,某餐厅A,餐饮,236.38
2026-02-11,某火锅店,餐饮,142.13
2026-02-12,华为云,云服务,233.81
2026-02-13,员工薪资C,工资,9752.4
2026-02-16,七牛云,云服务,418.04
2026-02-16,腾讯云,云服务,183.01
2026-02-17,员工薪资C,工资,11366.68
2026-02-17,携程机票,差旅,361.74
2026-02-17,AWS中国,云服务,487.53
2026-02-17,某打印店,办公,151.11
2026-02-17,某餐厅B,餐饮,98.5
2026-02-18,腾讯云,云服务,399.53
2026-02-18,阿里云,云服务,474.23
2026-02-18,某茶馆,餐饮,95.43
2026-02-19,苏宁易购,办公,120.84
2026-02-20,顺丰速运,办公,100.34
2026-02-22,某文具店,办公,235.0
2026-02-24,员工薪资D,工资,8971.99
2026-02-24,顺丰速运,办公,161.9
2026-02-24,员工薪资D,工资,8619.19
2026-02-26,某文具店,办公,363.47
2026-02-28,阿里云,云服务,171.21
2026-02-28,阿里云,云服务,167.71
2026-02-28,某快餐,餐饮,211.12
